"speech_id","speaker_bio_name","speaker_bio_url","speaker_bio_source","speaker_bio_status","speaker_bio_sex","speaker_bio_birth","speaker_bio_death","speaker_bio_parties","speaker_bio_parliament_start","speaker_bio_parliament_end","speaker_bio_gov_positions","speaker_bio_gov_period"
"nl.proc.sgd.d.194519460000118.2.10","Pieter Zandt","https://en.wikipedia.org/wiki/Pieter_Zandt","legislatoR_precomputed","matched","male",1880-03-06,1961-03-04,"sgp",NA,NA,"",""
"nl.proc.sgd.d.194519460000122.2.11","Pieter Zandt","https://en.wikipedia.org/wiki/Pieter_Zandt","legislatoR_precomputed","matched","male",1880-03-06,1961-03-04,"sgp",NA,NA,"",""
"nl.proc.sgd.d.194519460000144.1.28","Paul de Groot","https://en.wikipedia.org/wiki/Paul_de_Groot","legislatoR_precomputed","matched","male",1899-07-19,1986-08-03,"cpn",NA,NA,"",""
"nl.proc.sgd.d.194619470000441.2.9","","","","ambiguous","",NA,NA,"",NA,NA,"",""
"nl.proc.sgd.d.194619470000449.3.20","","","","ambiguous","",NA,NA,"",NA,NA,"",""
"nl.proc.sgd.d.194619470000453.3.2.53","Pieter Zandt","https://en.wikipedia.org/wiki/Pieter_Zandt","legislatoR_precomputed","matched","male",1880-03-06,1961-03-04,"sgp",NA,NA,"",""
"nl.proc.sgd.d.194619470000453.4.36","Pieter Zandt","https://en.wikipedia.org/wiki/Pieter_Zandt","legislatoR_precomputed","matched","male",1880-03-06,1961-03-04,"sgp",NA,NA,"",""
"nl.proc.sgd.d.194619470000456.4.2","Gerard Nederhorst","https://en.wikipedia.org/wiki/Gerard_Nederhorst","legislatoR_precomputed","matched","male",1907-10-17,1979-08-28,"pvda",NA,NA,"",""
"nl.proc.sgd.d.194719480000443.2.96","Jan Terpstra","https://en.wikipedia.org/wiki/Jan_Terpstra","legislatoR_precomputed","matched","male",1888-06-08,1952-12-14,"arp",NA,NA,"",""
"nl.proc.sgd.d.194719480000446.2.4","Pieter Zandt","https://en.wikipedia.org/wiki/Pieter_Zandt","legislatoR_precomputed","matched","male",1880-03-06,1961-03-04,"sgp",NA,NA,"",""
"nl.proc.sgd.d.194719480000479.4.2","Hendrik Johan Wilhelm Adriaan Meijerink","https://en.wikipedia.org/wiki/NA","legislatoR_precomputed","matched","",NA,NA,"arp",NA,NA,"",""
"nl.proc.sgd.d.194819490000445.4.3","Cor Borst","https://en.wikipedia.org/wiki/Cor_Borst","legislatoR_precomputed","matched","male",1891-02-01,1974-05-11,"cpn",NA,NA,"",""
"nl.proc.sgd.d.194819490000457.2.9","Johan Scheps","https://en.wikipedia.org/wiki/Johan_Scheps","legislatoR_precomputed","matched","male",1900-07-13,1993-10-03,"pvda",NA,NA,"",""
"nl.proc.sgd.d.194819490000472.6.11","","","","ambiguous","",NA,NA,"",NA,NA,"",""
