speech_id,date,speaker,party_ref,temporal_grammar_code,symbolic_work_code,temporal_grammar_sentences_n,symbolic_work_sentences_n,temporal_grammar_sentences,symbolic_work_sentences,temporal_grammar_sentences_en,symbolic_work_sentences_en
nl.proc.sgd.d.194519460000118.2.10,1946-01-09,Zandt,nl.p.sgp,TG2,SW1,3,2,"Toen de zaken in ons land overeenkomstig artikel 3G der Nederlandsche Geloofsbelijdenis geregeld werden, toen, ja juist toen hebben wij de gouden eeuw van heel ons volksbestaan beleefd. Dat was de tijd, waarvan een onverdachte getuige als de liberale auteur Potgieter in zijn vermaard geschrift „He t Rijksmuseum te Amsterdam """" schreef: || Dat is voor mij een reden te meer, hoewel het beginsel hier voorop blijve staan, om bij dit Kabinet krachtig te bepleiten, zich in dezen wel te bezinnen. || Toen de zaken in ons land overeenkomstig artikel 3G der Nederlandsche Geloofsbelijdenis geregeld werden, toen, ja juist toen hebben wij de gouden eeuw van heel ons volksbestaan beleefd.","Gewis, Neerlands grootheid en aanzien en de algemeene welvaart zijner burgers ligt in dat tijdvak, toen het Regeeringsbeleid op den grondslag van de zuivere gerefoi'meerdo religie was gebouwd. || zegenrijke er van overtuigd zijn, dit als eisch voor elk Regeeringsbeleid.","When affairs in our country were arranged in accordance with Article 3G of the Dutch Confession of Faith, it was then, yes precisely then, that we experienced the golden age of our entire national existence. That was the time of which an unimpeachable witness like the liberal author Potgieter wrote in his famous work ""The Rijksmuseum in Amsterdam"": || That is all the more reason for me, although the principle remains paramount, to strongly advocate to this Cabinet to reflect carefully on this matter. || When matters in our country were arranged in accordance with Article 3G of the Dutch Confession of Faith, it was then, yes precisely then, that we experienced the golden age of our entire national existence.","Certainly, the greatness and esteem of the Netherlands and the general prosperity of its citizens lie in that period when the government policy was based on the principles of pure Reformed religion. || blessed to be convinced that this is a requirement for every government policy."
nl.proc.sgd.d.194519460000122.2.11,1946-01-16,Zandt,nl.p.sgp,TG1,SW4,2,3,"Hij wilde boven alles, dat het Evangelie er zou gebracht worden en dienovereenkomstig door de onzen in Indië geleefd en gehandeld zou worden. || Een zeer naë geestverwant van ons, namelijk de bij een groot deel van ons volk zoozeer geliefde predikant ds.","Hij zeide daarin onder meer, dat er zooveel uit Indië gehaald en zoo weinig gebracht werd. Hij wilde boven alles, dat het Evangelie er zou gebracht worden en dienovereenkomstig door de onzen in Indië geleefd en gehandeld zou worden. || Hij wilde boven alles, dat het Evangelie er zou gebracht worden en dienovereenkomstig door de onzen in Indië geleefd en gehandeld zou worden. || Hij zeide daarin onder meer, dat er zooveel uit Indië gehaald en zoo weinig gebracht werd.","Above all, he wanted the Gospel to be brought forth and to be lived and acted upon by our people in India accordingly. || A very dear spiritual companion of ours, namely the beloved pastor ds. who is cherished by a large part of our people.","He stated, among other things, that so much was taken from India and so little was brought back. Above all, he wanted the Gospel to be brought there and to be lived and acted upon by our people in India accordingly. || Above all, he wanted the Gospel to be brought forth and to be lived and acted upon by our people in India accordingly. || He stated, among other things, that so much was taken from India and so little was brought back."
nl.proc.sgd.d.194519460000144.1.28,1946-05-06,de Groot,nl.p.cpn,TG1,SW1,2,2,"Dit is het, waartoe een oorlog tegen Indonesië leiden moet: ledige landen, ledige zeeën, doode menschen en geen profijt, tenzij voor de handelaars in wapenen en oorlogsmateriaal. || Coknbrander verhaalt in zijn „Koloniale Geschiedenis """" hoe een zekere Rcacl, een der hoeren van de Oost-Indische Compagnie, in een verklaring, na het door Ccen in 1621 bij Danda aangerichte blocdblad, zijn waarschuwende stem verhief en schreef:","Dit is het, waartoe een oorlog tegen Indonesië leiden moet: ledige landen, ledige zeeën, doode menschen en geen profijt, tenzij voor de handelaars in wapenen en oorlogsmateriaal. || Bovendien, de tijden van Ja n Pieterszoon Coen zijn lang voorbij en elke poging van de twintigste-eeuwsche kikkers om zich tot zeventiende-eeuwscho ossen op te blazen, zal alleen voor hen zelf het bekende gevolg hebben.","This is what a war against Indonesia must lead to: empty lands, empty seas, dead people, and no benefit, except for the merchants of weapons and military supplies. || Coknbrander recounts in his ""Colonial History"" how a certain Rcacl, one of the prostitutes of the East India Company, raised his warning voice in a statement after the bloodshed caused by Ccen in Danda in 1621, and wrote:","This is what a war against Indonesia must lead to: empty lands, empty seas, dead people, and no benefit, except for the merchants of weapons and military supplies. || Moreover, the times of Jan Pieterszoon Coen are long gone, and any attempt by the twentieth-century frogs to inflate themselves into seventeenth-century oxen will only have the familiar consequence for them."
nl.proc.sgd.d.194619470000441.2.9,1946-11-28,Tilanus,nl.p.chu,TG1,SW1,2,3,Tegenover elkaar stelde hij eenerzijds de tocht naar Chatham in 1667 van Michiel Adriaansz. || In beide gevallen werd blijk pegeven van een juiste maritieme visie.,"Ik kan den geachten afgevaardigde de verzekering geven, dat de ervaring van den afgeloopen oorlog heeft geleerd, dat smaldeelen van een harmonische samenstelling, als in de Memorie van Toelichting is aangegeven, zeker niet als een verlengstuk van andere vloten moeten worden aangemerkt. || Rekening houdende met het feit, dat een ontmoeting met de sterke Britsche vloot, waarvan de bevelhebber, admiraal Strikland, koningsgezind was, niet uitgesloten was, moet men deze operatie dan ook, evenals die naar Chatham, beschouwen als in de eerste plaats een maritieme operatie, terwijl het succes ook in dit geval aan een juiste, maritieme, strategische visie was te danken. || Hetzelfde geldt voor den tocht van den Koning-Stadhouder.","He contrasted the journey to Chatham in 1667 by Michiel Adriaansz. || In both cases, a correct maritime vision was demonstrated.","I can assure the esteemed representative that the experience of the recent war has taught us that small units of a harmonious composition, as indicated in the explanatory memorandum, should certainly not be regarded as an extension of other fleets. || Considering the fact that an encounter with the strong British fleet, whose commander, Admiral Strikland, was loyal to the king, could not be ruled out, this operation should also be viewed, like the one towards Chatham, primarily as a maritime operation, with success in this case also attributed to a correct maritime strategic vision. || The same applies to the journey of the King-Stattholder."
nl.proc.sgd.d.194619470000449.3.20,1946-12-13,van Dis,nl.p.sgp,TG1,SW1,1,1,"Ten tweede zou ik er den Minister opmerkzaam op willen maken, dat onzerzijds, in het voetspoor der Dordtsche Synode en der oude GereformeerdÂ© theologen, nimmer bezwaren zijn ingebracht tegen het verrichten van noodzakelij ken Zondagschen arbeid door personen, die in dienst der Overheid voor de handhaving van het gezag, alsmede voor die van de openbare orde, rust en veiligheid moeten zorgen.","Ten tweede zou ik er den Minister opmerkzaam op willen maken, dat onzerzijds, in het voetspoor der Dordtsche Synode en der oude GereformeerdÂ© theologen, nimmer bezwaren zijn ingebracht tegen het verrichten van noodzakelij ken Zondagschen arbeid door personen, die in dienst der Overheid voor de handhaving van het gezag, alsmede voor die van de openbare orde, rust en veiligheid moeten zorgen.","Secondly, I would like to draw the Minister's attention to the fact that, following the example of the Dordrecht Synod and the old Reformed theologians, we have never raised objections against the performance of necessary work on Sundays by individuals who, in the service of the government, must ensure the maintenance of authority, as well as public order, peace, and safety.","Secondly, I would like to draw the Minister's attention to the fact that, following the example of the Dordrecht Synod and the old Reformed theologians, we have never raised objections against the performance of necessary work on Sundays by individuals who, in the service of the government, must ensure the maintenance of authority, as well as public order, peace, and safety."
nl.proc.sgd.d.194619470000453.3.2.53,1946-12-19,Zandt,nl.p.sgp,TG2,SW2,1,1,In de dagen van admiraal de Ruyter was zulk een vernedering zelfs niet denkbaar.,In de dagen van admiraal de Ruyter was zulk een vernedering zelfs niet denkbaar.,"In the days of Admiral de Ruyter, such a humiliation was even unthinkable.","In the days of Admiral de Ruyter, such a humiliation was even unthinkable."
nl.proc.sgd.d.194619470000453.4.36,1946-12-19,Zandt,nl.p.sgp,TG2,SW2,2,2,"In de dagen van admiraal de Ruyter was zulk een vernedering zelfs niet denkbaar. || Nooit zouden mannen van het slag van een de Buyter het hebben willen gedoogen, dat Nederland zoo ontzaglijk vernederd zou worden.","Maar, Mijnheer de Voorzitter, thans zien wij, dat dit helaas zeer wel mogelijk is. || Die tocht daarhenen is waarlijk een gang naar Canossa en niet anders geweest.","In the days of Admiral de Ruyter, such a humiliation was even unthinkable. || Men like de Buyter would never have tolerated such a tremendous humiliation for the Netherlands.","But, Mr. Chairman, we now see that this is unfortunately very possible. || That journey there has truly been a walk to Canossa and nothing else."
nl.proc.sgd.d.194619470000456.4.2,1947-02-05,Nederhorst,nl.p.pvda,TG1,SW1,1,1,"dachte al veel ouder en moeten w-ij teruggaan tot de kan listisehe schrijvers van de 17de eeuw, die de gedachte va i Btaatsbegrootmg voor het eerst poneerden.","dachte al veel ouder en moeten w-ij teruggaan tot de kan listisehe schrijvers van de 17de eeuw, die de gedachte va i Btaatsbegrootmg voor het eerst poneerden. Want wal begrooting anders dan een financieel pion voor de Over' uitgaven?","I thought it was much older, and we have to go back to the canonical writers of the 17th century, who first proposed the idea of state budgeting.","I thought it was much older, and we must go back to the canonical writers of the 17th century, who first proposed the idea of state budgeting. Because what is budgeting other than a financial plan for government expenditures?"
nl.proc.sgd.d.194719480000443.2.96,1947-12-11,Terpstra,nl.p.arp,TG1,SW1,2,2,"De oude schilderijen uit de 16de en 17de eeuw moet men beschouwen als patiënten. || Onder die schilderijen zijn er, die twee- en driehonderd jaar Handelingen der Stater.","Ik zou in verband met de plannen om de oude schilderijen te doen reizen naar verschillende tentoonstellingen ccn woord van waarschuwing willen laten horen. || Zij zitten vol barstjes en men moet er voorzichtig mee zijn om die schilderijen te brengen in localiteiten, waar de temperatuur en het vochtigheidsgehalte van de lucht anders zijn dan die, waaraan die schilderijen gewoon zijn.","The old paintings from the 16th and 17th centuries should be regarded as patients. || Among those paintings are some that are two and three hundred years old, depicting the Acts of the States.","I would like to sound a word of warning regarding the plans to send the old paintings to various exhibitions. || They are full of cracks, and one must be careful when bringing those paintings to locations where the temperature and humidity levels are different from what the paintings are used to."
nl.proc.sgd.d.194719480000446.2.4,1947-12-17,Zandt,nl.p.sgp,TG2,SW2,2,2,"Geen Michiel de Ruyter zou het dulden, dat zijn janmaats zo behandeld werden. || Geen Prins Maurits zou het lijdelijk willen aanzien, dat zijn soldaten zo in de dood werden gedreven.","Geen Michiel de Ruyter zou het dulden, dat zijn janmaats zo behandeld werden. || Geen Prins Maurits zou het lijdelijk willen aanzien, dat zijn soldaten zo in de dood werden gedreven.",No Michiel de Ruyter would tolerate his crew being treated that way. || No Prince Maurits would passively watch as his soldiers were driven to their deaths like that.,No Michiel de Ruyter would tolerate his crew being treated that way. || No Prince Maurits would passively watch as his soldiers were driven to their deaths like that.
