lexical_labels,fixed_anchors,value_associations
gouden_eeuw,republiek_der_zeven_verenigde_nederlanden,handelsgeest
de_gouden_eeuw,republiek_der_zeven_verenigde_provincien,koopmansgeest
nederlandse_gouden_eeuw,republiek_der_zeven_verenigde_provinciën,koopmans_geest
onze_gouden_eeuw,republiek_der_nederlanden,ondernemersgeest
zeventiende_eeuw,verenigde_provincien,wereldhandel
zeventiende-eeuw,verenigde_provinciën,handel
17e_eeuw,zeven_provincien,handelspolitiek
17de_eeuw,zeven_provincieën,handel_en_nijverheid
zeventiende_eeuws,staten_generaal,vrijhandel
zeventiende-eeuws,staten-generaal,vrije_marktwerking
17e_eeuws,raadpensionaris,vrij_transport
17e-eeuws,stadhouder,cabotage
vroegmoderne_tijd,regenten,handeldrijvende_natie
vroegmoderne_periode,huis_van_oranje,handeldrijvend
vroegmodern,unie_van_utrecht,maritieme_natie
,synode_van_dordrecht,zeevaart
,statenbijbel,handelsvloot
,twaalfjarig_bestand,vloot
,twaalfjarig-bestand,welvaart
,tachtigjarige_oorlog,voorspoed
,tachtigjarige-oorlog,rijkdom
,rampjaar,grootheid
,voc,neerlands_grootheid
,v_o_c,nationale_grootheid
,vereenigde_oost-indische_compagnie,macht
,vereenigde_oostindische_compagnie,politieke_macht
,verenigde_oost-indische_compagnie,expansiedrang
,verenigde_oostindische_compagnie,overzeese_expansie
,heren_xvii,dynamiek
,heeren_xvii,over_de_grenzen_kijken
,bewindhebbers,kijken_over_de_grenzen
,wic,dna_van_de_handelsgeest
,w_i_c,
,west-indische_compagnie,
,westindische_compagnie,
,jan_pieterszoon_coen,
,jan_p._coen,
,j.p._coen,
,jp_coen,
,j_p_coen,
,michiel_de_ruyter,
,michiel_de_ruijter,
,de_ruyter,
,de_ruijter,
,piet_heyn,
,piet_hein,
,johan_de_witt,
,johan_de_wit,
,de_witt,
,de_wit,
,prins_maurits,
,maurits_van_nassau,
,frederik_hendrik,
,prins_frederik_hendrik,
,willem_iii,
,willem_3,
,batavia,
,banda,
,banda-eilanden,
,banda_eilanden,
,coentunnel,
,coen_tunnel,
,jan_pieterszoon_coenstraat,
,coenstraat,
,standbeeld_jan_pieterszoon_coen,
,standbeeld_jp_coen,
,standbeeld_j.p._coen,
,voc-mentaliteit,
,voc_mentaliteit,
,de_grauwe_eeuw,
