category,term
lexical_labels,gouden_eeuw
lexical_labels,de_gouden_eeuw
lexical_labels,nederlandse_gouden_eeuw
lexical_labels,onze_gouden_eeuw
lexical_labels,zeventiende_eeuw
lexical_labels,zeventiende-eeuw
lexical_labels,17e_eeuw
lexical_labels,17de_eeuw
lexical_labels,zeventiende_eeuws
lexical_labels,zeventiende-eeuws
lexical_labels,17e_eeuws
lexical_labels,17e-eeuws
lexical_labels,vroegmoderne_tijd
lexical_labels,vroegmoderne_periode
lexical_labels,vroegmodern
fixed_anchors,republiek_der_zeven_verenigde_nederlanden
fixed_anchors,republiek_der_zeven_verenigde_provincien
fixed_anchors,republiek_der_zeven_verenigde_provinciën
fixed_anchors,republiek_der_nederlanden
fixed_anchors,verenigde_provincien
fixed_anchors,verenigde_provinciën
fixed_anchors,zeven_provincien
fixed_anchors,zeven_provincieën
fixed_anchors,staten_generaal
fixed_anchors,staten-generaal
fixed_anchors,raadpensionaris
fixed_anchors,stadhouder
fixed_anchors,regenten
fixed_anchors,huis_van_oranje
fixed_anchors,unie_van_utrecht
fixed_anchors,synode_van_dordrecht
fixed_anchors,statenbijbel
fixed_anchors,twaalfjarig_bestand
fixed_anchors,twaalfjarig-bestand
fixed_anchors,tachtigjarige_oorlog
fixed_anchors,tachtigjarige-oorlog
fixed_anchors,rampjaar
fixed_anchors,voc
fixed_anchors,v_o_c
fixed_anchors,vereenigde_oost-indische_compagnie
fixed_anchors,vereenigde_oostindische_compagnie
fixed_anchors,verenigde_oost-indische_compagnie
fixed_anchors,verenigde_oostindische_compagnie
fixed_anchors,heren_xvii
fixed_anchors,heeren_xvii
fixed_anchors,bewindhebbers
fixed_anchors,wic
fixed_anchors,w_i_c
fixed_anchors,west-indische_compagnie
fixed_anchors,westindische_compagnie
fixed_anchors,jan_pieterszoon_coen
fixed_anchors,jan_p._coen
fixed_anchors,j.p._coen
fixed_anchors,jp_coen
fixed_anchors,j_p_coen
fixed_anchors,michiel_de_ruyter
fixed_anchors,michiel_de_ruijter
fixed_anchors,de_ruyter
fixed_anchors,de_ruijter
fixed_anchors,piet_heyn
fixed_anchors,piet_hein
fixed_anchors,johan_de_witt
fixed_anchors,johan_de_wit
fixed_anchors,de_witt
fixed_anchors,de_wit
fixed_anchors,prins_maurits
fixed_anchors,maurits_van_nassau
fixed_anchors,frederik_hendrik
fixed_anchors,prins_frederik_hendrik
fixed_anchors,willem_iii
fixed_anchors,willem_3
fixed_anchors,batavia
fixed_anchors,banda
fixed_anchors,banda-eilanden
fixed_anchors,banda_eilanden
fixed_anchors,coentunnel
fixed_anchors,coen_tunnel
fixed_anchors,jan_pieterszoon_coenstraat
fixed_anchors,coenstraat
fixed_anchors,standbeeld_jan_pieterszoon_coen
fixed_anchors,standbeeld_jp_coen
fixed_anchors,standbeeld_j.p._coen
fixed_anchors,voc-mentaliteit
fixed_anchors,voc_mentaliteit
fixed_anchors,de_grauwe_eeuw
value_associations,handelsgeest
value_associations,koopmansgeest
value_associations,koopmans_geest
value_associations,ondernemersgeest
value_associations,wereldhandel
value_associations,handel
value_associations,handelspolitiek
value_associations,handel_en_nijverheid
value_associations,vrijhandel
value_associations,vrije_marktwerking
value_associations,vrij_transport
value_associations,cabotage
value_associations,handeldrijvende_natie
value_associations,handeldrijvend
value_associations,maritieme_natie
value_associations,zeevaart
value_associations,handelsvloot
value_associations,vloot
value_associations,welvaart
value_associations,voorspoed
value_associations,rijkdom
value_associations,grootheid
value_associations,neerlands_grootheid
value_associations,nationale_grootheid
value_associations,macht
value_associations,politieke_macht
value_associations,expansiedrang
value_associations,overzeese_expansie
value_associations,dynamiek
value_associations,over_de_grenzen_kijken
value_associations,kijken_over_de_grenzen
value_associations,dna_van_de_handelsgeest
